sales_pred,index
0.0,272371
0.0,558468
5399.9025,76950
8466.123714285714,77556
6289.18,456344
3743.4,436466
3928.718666666667,646251
7503.02,650464
0.0,162710
7295.714999999999,100327
8045.571642857143,374540
4928.491999999999,399143
0.0,44740
7264.75,674144
5744.962833333335,81595
4097.09,416724
12180.13,632687
5990.269666666667,351899
5010.71415079365,515940
6203.728333333333,567411
0.0,274598
15380.25,417880
4963.258571428571,453710
0.0,597622
7535.37,223346
0.0,630018
7936.906142857143,355860
2769.7383333333332,360080
12641.016666666668,129544
0.0,422545
6473.747333333334,174199
0.0,118613
10836.665666666664,60310
6219.3447857142855,328458
5502.6845952380945,200661
7605.87275,179581
0.0,587612
7663.680666666668,320169
6259.719738095239,37194
4338.82757142857,685427
9909.701666666668,125422
2798.16,24499
7668.868412698412,281806
3588.433234126984,540511
2566.7665476190477,28689
9197.765,165066
4869.75,555963
8889.988666666666,610614
9354.773666666666,64013
9647.785,30639
9853.87,418604
5945.65,468037
5266.473333333333,271589
3248.7166666666662,77924
5989.089023809525,247149
4173.93,576822
5943.473571428572,108538
5815.9725,645670
2953.715408730159,601663
7695.062761904758,502588
4623.653333333334,66732
7007.312809523811,627113
7326.3499999999985,691184
10149.89,467913
6358.89,304890
5309.266666666666,274018
6943.529349206351,644430
6893.837523809522,669009
7078.435,518722
5842.581333333334,505976
5736.115285714287,291572
3315.959166666666,39071
6055.4279166666665,319154
3164.139816378067,166603
7032.613333333334,428262
4878.111666666668,20314
3630.309833333334,603091
8149.659833333331,500421
0.0,388016
7686.5183333333325,268257
7302.24,216326
2683.242166666667,40755
7091.867666666667,8654
7326.21,37301
8925.58,485623
9896.339999999998,214073
2625.6783333333333,406145
3654.066666666667,397642
10401.19,273960
2214.725023809524,12104
3856.545547619047,361202
7509.128095238096,79347
6207.436000000001,462803
6995.47,141713
3424.85,703618
8706.549250000002,308360
7327.09,317995
7542.12,364408
10662.9725,27886
0.0,706814
2887.3487619047623,514516
10120.92,577373
7427.94719047619,190561
11945.061666666665,92512
7729.687023809524,565163
6107.6315,500246
3460.2001190476185,223708
6482.751666666666,555732
3564.7785000000003,654150
3426.965833333333,558350
5331.343166666667,52167
4470.7985,296981
7530.57,332143
5153.24,426553
5728.390333333333,481847
10777.448999999999,100496
6788.221,706377
6287.0,599169
6771.89982142857,55294
4746.411,218737
5381.05,266706
7580.942190476189,441953
6745.509,127184
9573.4,312223
9231.853333333334,583377
10059.054,523743
0.0,476775
7936.079166666666,620142
3497.061142857143,460092
5451.6174999999985,169260
5264.495500000001,177084
6028.97,645354
9841.22,645737
8052.54,272578
